"Player Name", "World", "Combat Level", "Time In MS",
Give Me Pet,355,115,1566580523654,
XtendoClipz,422,108,1566580565576,
Green drago1,334,94,1566580803712,
Green drago1,350,94,1566581269882,
Vorex,521,108,1566581759474,
PVM WEED KFC,330,111,1566581766423,
dzenyneny,340,95,1566581773995,
CoxakCZE,340,85,1566581774009,
FAT BAG,328,107,1566582157897,
L0GANG,305,126,1566582438550,
p 0 o p 0 o,315,76,1566582617126,
BadaNova,374,126,1566583243697,
carlosluis77,342,59,1566583493999,
WolfAcademic,515,102,1566584083015,
Shezzzzza,388,106,1566584342736,
Shezzzzza,421,106,1566584570794,
sl 0w,359,104,1566585516795,
Shezzzzza,331,106,1566585570834,
proteinnutz,465,32,1566586152795,
Top Kit,340,77,1566586271477,
Top Kit,515,77,1566586526394,
Top Kit,495,77,1566586560860,
OuZii,360,124,1566586789154,
boobjobjon,492,81,1566587224760,
Top Kit,516,77,1566587807197,
purebreade,331,65,1566587860025,
Jounas,519,81,1566587959306,
Maxiana,513,72,1566587970176,
Mummonmunkit,516,108,1566588569251,
Shezzzzza,314,106,1566589135524,
sl 0w,352,104,1566589180758,
F Venezuela,367,59,1566589481158,
sl 0w,315,104,1566589510672,
Stevemole10,310,99,1566589780261,
Top Kit,355,77,1566590275176,
Top Kit,347,77,1566590323863,
Fasciitliis,518,79,1566590726181,
FISHBARK,304,60,1566591302732,
Shezzzzza,518,106,1566592200806,
Gindow,524,97,1566592217903,
Gemmy51,306,114,1566592299334,
scimslinger,327,69,1566592306593,
Arcaniek,332,64,1566592314102,
L3gola5,515,70,1566594231072,
head change,377,121,1566608297779,
S1mb423,306,61,1566608376416,
0f Counsel,369,68,1566608649474,
Got Good,496,97,1566608851617,
Party P3ty,466,81,1566609060924,
Rooday,524,40,1566609068424,
Too Slow 210,339,124,1566610383225,
p 0 o p 0 o,422,76,1566611297833,
Bdutch026,351,108,1566611367279,
Rooday,314,40,1566611601791,
Gilrs jr,421,71,1566611635373,
Dare Ox,330,118,1566611671729,
Latex 1,465,126,1566611732193,
BABYvCODEINE,338,62,1566612370408,
spid3r_guay,369,94,1566612630120,
Nugget Xvids,369,116,1566612630122,
Mr Scarycrow,313,90,1566612957210,
Andrew8900,319,90,1566613216094,
bronze mids,346,67,1566623428343,
Feed a Duck,340,102,1566626230834,
L0c0 M0cr0,332,101,1566655527832,
Tijmo,303,110,1566655604043,
P0keYoMaMMy,332,107,1566655929428,
BabyBlueBow,357,73,1566655938346,
X O N I C,340,103,1566656751025,
BEST OCEAN,337,100,1566657715914,
Nevrian,386,72,1566657956448,
GreatJaars,491,111,1566659561405,
Ragutiz wp,302,94,1566660996421,
puddles4,359,77,1566661136946,
p 0 o p 0 o,514,77,1566661299700,
maquina_22,336,89,1566663784579,
Ilye,475,102,1566663840477,
Th3boss26,390,106,1566665463441,
Turri,395,123,1566666087854,
Ovela,330,126,1566666396939,
serceli01,358,95,1566666963276,
spaded jr,388,66,1566667246168,
V-NavasAlber,389,102,1566668601895,
Remedial,370,111,1566668626751,
Mobile_Pker9,346,68,1566669464844,
B1gM1keThugn,389,87,1566669642489,
Mobile_Pker9,319,68,1566669772580,
Mobile_Pker9,369,68,1566669906942,
conanmac,518,70,1566670605529,
conanmac,422,70,1566670705135,
V-NavasAlber,328,102,1566670712457,
ItsOVO,319,106,1566670719605,
conanmac,523,70,1566670817501,
iAmTheBee,518,106,1566670824253,
AK47-HarsoKy,337,73,1566671013049,
XP Nd Sm0k3z,320,68,1566671020340,
Littlebit22,303,45,1566671640273,
Smite a Juul,378,65,1566671791607,
Vossiiee,358,100,1566671966183,
lil bami,359,109,1566672277123,
Smite a Juul,362,65,1566672706534,
Wil-y-Coyote,515,126,1566673728792,
bobsen20,331,108,1566673843112,
sl 0w,524,104,1566673987764,
Uncle Tird 3,331,103,1566674841900,
Tacohahahaha,491,63,1566675753090,
GOL FURY PK,330,86,1566676848252,
SmokeADoobie,494,73,1566676961523,
ExcuseMyStr,355,112,1566677106564,
sl 0w,421,104,1566677113783,
Dubhthachaed,496,29,1566677121322,
tarki94,325,91,1566677401322,
basjeje,351,101,1566678087942,
Rag Sneaker,352,126,1566680002658,
xThe fo,514,116,1566681924018,
Joe Pavelski,445,125,1566682267271,
inflowx,496,122,1566682605271,
gk kingjames,367,50,1566683599599,
TheSnow09,524,76,1566684051677,
altagraci24,524,6,1566684051682,
l0o5er,307,50,1566684772188,
MMMerica,389,57,1566685626207,
belter m8,521,115,1566686086606,
TYLLERR JR,444,59,1566686183223,
Meet God,355,81,1566686380006,
iron vaanz,493,74,1566686387731,
RIP U DIED,424,86,1566687120576,
gk kingjames,516,50,1566687264031,
gk kingjames,338,50,1566687580579,
V-NavasAlber,390,102,1566688438612,
1eat a-ss,351,119,1566689315075,
Yeah Science,334,122,1566689572639,
Ironvhx,494,15,1566689580998,
Yeah Science,515,122,1566689649411,
CODEINExDANK,325,109,1566689676607,
CODEINExDANK,358,109,1566690148299,
12skullcandy,517,88,1566690249834,
God ghostt,314,114,1566690833474,
You Are EZ,496,87,1566690997805,
BarrrrrPVM,446,98,1566691489656,
l0o5er,522,50,1566691840270,
ragemonsta27,320,123,1566750839092,
tng_sma,446,66,1566750917555,
Elryx,446,84,1566750917558,
aameri,386,66,1566752033006,
basjeje,346,101,1566752071377,
OG lowkey,465,99,1566753111539,
sry im poor,387,109,1566754037774,
P0keYoMaMMy,332,107,1566754758172,
xWICKED CALI,421,102,1566755367802,
Shwiggitty99,309,77,1566755540324,
Shwiggitty99,310,77,1566755553538,
Bennie dood,387,124,1566755950396,
pancake94,444,59,1566756648313,
pancake94,348,59,1566757000696,
kewl u fail,344,110,1566757644798,
pancake94,387,59,1566757744519,
pancake94,309,59,1566758324131,
Wildcattwo2,330,105,1566759104458,
Boolbe,492,89,1566759535996,
Full_fear15,315,103,1566759858054,
sluweWolf,330,111,1566759865122,
XtendoClipz,491,108,1566760698170,
0f Counsel,314,69,1566761385531,
0f Counsel,495,69,1566762251926,
High mrRye,360,73,1566762310019,
High mrRye,367,73,1566762383499,
UGotToasted,332,56,1566762920447,
Hard Cowk,330,66,1566762944457,
basjeje,342,101,1566763127370,
dug dickman,516,108,1566763443219,
PeterHarry31,367,101,1566763699496,
Dragon Fight,303,122,1566763707177,
iTz_RikudoVz,303,95,1566763707180,
Red7000,469,49,1566763775058,
Apengrot,328,66,1566763868656,
Soft Beenus,395,61,1566763876259,
High Sin,322,70,1566763885333,
Hard Cowk,322,66,1566763885336,
Whip Me Dady,519,98,1566765835352,
TheNameIess,388,103,1566765923236,
Rs-Duff,337,81,1566767187786,
Moon Shine,330,99,1566767542247,
Freeman RS,514,86,1566767637851,
Zauliz,338,106,1566767720358,
Sell 2gp,386,113,1566768127135,
KingOfFlip,307,118,1566769611851,
Lionetta,320,79,1566770344784,
TemBBa,303,106,1566770496539,
Taimen,513,124,1566770811608,
Taimen,387,124,1566771199232,
Zemyle,313,65,1566771340230,
Teicu,492,101,1566933510844,
Wonsie,359,82,1566933690832,
linste1901,303,89,1566934081195,
EscobarDream,339,125,1566934195433,
Wonsie,446,82,1566934544613,
Chaqa,342,122,1566934552142,
The_Farkrund,389,123,1566935006185,
TO BACCO HIT,395,73,1566935124628,
